,gain
R_5__max,8.93342125415802
B_5__delta__last,8.922775268554688
B_22__mean,8.918045282363892
B_13__last,8.89507782459259
D_70__std,8.885902881622314
D_60__min,8.885499477386475
B_7__max,8.879443049430847
D_139__max,8.87395966053009
P_2__delta_pct__last,8.85733687877655
D_144__mean,8.849548101425171
R_21__mean,8.844171404838562
D_139__min,8.839055299758911
B_9__roll3_std__last,8.837981462478638
D_104__std,8.835182309150696
D_84__std,8.829321384429932
B_6__max,8.824426889419556
D_58__last,8.823542833328247
D_44__delta__last,8.798033356666565
S_12__last,8.772722363471985
S_13__std,8.772305250167847
B_6__ewm3__last,8.77024233341217
D_141__max,8.754896759986877
P_4__mean,8.752383828163147
D_55__mean,8.749184131622314
S_22__std,8.748208403587341
S_3__delta_pct__last,8.741384744644165
B_33__mean,8.7349773645401
D_48__prev__last,8.734450936317444
D_62__last,8.714577555656433
B_9__max,8.70810329914093
D_72__max,8.69419527053833
B_9__roll3_mean__last,8.686513543128967
B_14__min,8.643541812896729
D_91__mean,8.64352297782898
B_13__min,8.634697198867798
S_22__min,8.627564787864685
B_12__last,8.612781643867493
D_62__max,8.610462427139282
D_141__min,8.609114646911621
D_145__mean,8.599739789962769
D_145__last,8.594386577606201
D_41__prev__last,8.587598323822021
D_61__min,8.582611441612244
D_127__mean,8.580576777458191
R_1__prev__last,8.561733484268188
D_61__mean,8.55302095413208
D_44__delta_pct__last,8.551414489746094
S_27__max,8.547402501106262
R_2__roll3_std__last,8.532055497169495
S_27__mean,8.531861424446106
S_25__max,8.530384182929993
R_12__std,8.526386976242065
D_139__last,8.523383617401123
B_16__last,8.519250750541687
D_61__std,8.515681982040405
R_10__max,8.514156699180603
R_6__max,8.510998725891113
B_5__std,8.504501461982727
D_115__min,8.504438996315002
D_72__last,8.493236184120178
B_12__min,8.492510437965393
R_4__roll3_mean__last,8.491446256637573
R_14__std,8.480149626731873
B_25__mean,8.47886347770691
D_39__prev__last,8.47837233543396
B_10__std,8.47836697101593
S_11__std,8.467662692070007
D_113__max,8.467596054077148
B_7__min,8.465385675430298
S_27__min,8.464911937713623
R_3__min,8.464786887168884
S_13__mean,8.463366508483887
B_20__std,8.461743235588074
S_26__min,8.457874774932861
D_127__max,8.45283305644989
D_74__last,8.451563596725464
B_10__max,8.449768781661987
D_103__min,8.44253957271576
D_41__delta_pct__last,8.43293833732605
D_91__max,8.424627423286438
P_3__delta_pct__last,8.415557980537415
D_78__std,8.407695412635803
