,gain
D_102__min,2181.5785484313965
R_19__last,2179.106390476227
S_6__std,2178.266181945801
D_83__max,2172.9693717956543
S_19__std,2172.311143875122
D_86__last,2171.3487820625305
D_66__nuniq,2171.2597103118896
B_11__std,2169.0237350463867
R_19__mean,2166.294005393982
D_89__last,2164.8217391967773
R_21__max,2164.49090385437
R_14__max,2162.5705404281616
B_41__mean,2161.048966407776
B_40__mean,2157.926525115967
D_84__last,2157.484221458435
D_140__std,2156.5205130577087
R_7__min,2148.429702758789
R_18__min,2144.1993560791016
D_140__mean,2141.062886238098
B_36__min,2135.962537765503
B_27__mean,2134.431749343872
D_62__std,2133.0511980056763
B_6__last,2131.048303604126
D_107__min,2127.180435180664
R_13__min,2125.5614528656006
R_22__max,2125.0344429016113
S_25__mean,2123.4097719192505
D_144__mean,2120.918804168701
D_83__mean,2120.4297952651978
R_5__std,2119.159863471985
B_41__last,2117.6868810653687
S_18__min,2113.244198322296
R_25__min,2112.8148193359375
B_24__min,2104.050295352936
D_123__last,2103.043100833893
R_4__prev__last,2100.6509594917297
D_115__max,2097.821352005005
D_94__std,2096.994821548462
B_14__min,2096.0464944839478
D_78__max,2094.415464401245
B_12__std,2094.1629524230957
R_28__last,2093.9300894737244
D_115__last,2092.7049016952515
R_21__mean,2092.640125274658
B_28__std,2089.0809755325317
S_8__std,2088.507279396057
S_22__min,2088.3474559783936
S_18__std,2086.407786846161
R_25__max,2085.067852497101
B_3__mean,2082.131220817566
D_70__min,2077.4698071479797
D_125__min,2077.1221561431885
D_69__max,2076.8835096359253
D_92__min,2074.528253555298
R_1__delta__last,2072.6872034072876
B_19__mean,2070.927465438843
D_60__mean,2070.619171142578
D_107__mean,2069.8410873413086
B_5__delta_pct__last,2069.5196027755737
R_3__roll3_std__last,2069.0140352249146
R_1__min,2068.700602531433
D_145__std,2068.3522777557373
P_4__last,2068.0592498779297
R_18__last,2066.8624334335327
R_2__roll3_std__last,2065.6689596176147
D_119__mean,2062.0629777908325
P_4__std,2062.0030484199524
D_112__min,2056.2494535446167
D_91__mean,2053.588927268982
D_113__std,2052.9227724075317
P_4__max,2051.4160232543945
R_12__min,2048.9527492523193
B_13__std,2047.867060661316
B_18__std,2047.1667022705078
R_4__std,2043.367919921875
D_103__std,2042.8755378723145
S_13__std,2042.233413696289
B_1__std,2039.7547082901
P_4__min,2037.9536781311035
D_129__std,2037.8607597351074
D_94__last,2036.4755907058716
B_22__max,2035.7471342086792
D_86__std,2034.0661134719849
D_127__mean,2034.004963874817
D_59__min,2030.5585403442383
R_2__delta__last,2027.243037223816
D_52__std,2023.8064432144165
B_9__min,2023.7999753952026
R_22__last,2021.8269834518433
R_18__max,2021.4671878814697
B_14__mean,2010.9348821640015
D_75__max,2010.0793113708496
S_6__min,2009.021728515625
D_104__min,2008.817783355713
B_26__mean,2007.4701128005981
R_2__std,2006.7487802505493
D_118__max,2005.9316692352295
D_84__std,2005.026282787323
R_28__min,2002.0269756317139
S_27__min,2000.16206741333
D_55__mean,1997.8331108093262
B_16__max,1996.0111985206604
R_16__std,1995.6972603797913
R_23__min,1992.8917627334595
B_2__delta_pct__last,1989.6836915016174
D_127__std,1987.6614398956299
D_114__last,1983.089165687561
B_32__min,1979.888496875763
D_130__mean,1978.406171798706
B_27__std,1977.8010244369507
R_21__last,1976.0874767303467
D_60__min,1975.3018102645874
D_91__max,1973.5052824020386
S_17__mean,1972.824501991272
S_6__last,1968.4676942825317
D_47__std,1967.739595413208
D_130__max,1965.519012928009
R_23__std,1964.5003604888916
D_103__mean,1961.5798625946045
D_144__last,1960.6210761070251
D_94__max,1960.3359375
B_11__roll3_mean__last,1954.5525884628296
D_113__max,1954.0768899917603
D_125__last,1953.8954772949219
D_58__last,1952.4441566467285
D_109__std,1951.2830390930176
B_9__roll3_mean__last,1950.0134935379028
D_107__std,1949.0458917617798
D_115__mean,1943.857611656189
D_109__max,1940.4226703643799
B_20__min,1933.8587579727173
R_8__mean,1933.7458238601685
D_125__max,1932.7789850234985
D_103__min,1927.6873517036438
R_13__std,1927.0943613052368
B_25__min,1924.3433742523193
D_145__max,1916.7105827331543
D_112__max,1914.9205956459045
R_2__prev__last,1914.336703300476
D_65__min,1914.191668510437
B_26__min,1912.1460781097412
D_93__std,1910.0701637268066
B_1__min,1909.5388488769531
R_12__mean,1905.1940870285034
B_41__max,1904.8406686782837
B_15__min,1903.7771549224854
B_37__min,1896.808219909668
B_9__max,1893.5976371765137
S_24__mean,1892.2579202651978
B_26__max,1891.3110656738281
B_1__prev__last,1890.2261991500854
R_28__mean,1889.631552696228
S_22__mean,1888.126895904541
B_10__max,1888.0126304626465
D_140__max,1887.46715259552
B_5__max,1885.8992128372192
B_13__min,1885.4662494659424
R_6__max,1884.6922063827515
D_107__max,1883.5460376739502
B_27__max,1883.2697954177856
B_20__std,1877.9457302093506
R_24__mean,1871.0626125335693
R_16__min,1868.763505935669
R_17__min,1867.3782348632812
D_89__std,1864.8366737365723
B_32__std,1864.0359745025635
R_2__min,1863.4899034500122
D_119__std,1859.4766511917114
R_15__max,1856.7114038467407
B_32__last,1855.0000677108765
S_6__max,1854.3018350601196
D_81__min,1853.185052871704
B_11__min,1851.7091789245605
R_17__mean,1850.9244775772095
D_80__mean,1850.298734664917
D_60__std,1849.4289093017578
D_123__min,1848.7905712127686
R_4__roll3_mean__last,1848.1554927825928
R_4__delta__last,1847.699701309204
R_13__last,1846.5277910232544
D_144__min,1841.880612373352
S_13__min,1841.7677364349365
